"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeKnuckleBall","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeKnuckleBall","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",9,"0","1",1,"0","1",2,0,0,0,-3,0,2,0.286,0,-1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","0",1,"0","0",0,0,0,0,0,0,4,0.179,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","0",3,"3","2",1,0,0,0,0,7.36,29,0.271,7,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Fastball",2,"0","1",1,"1","2",1,0,0,0,0,1.91,17,0.292,0,-1,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",3,"0","1",8,"0","0",2,0,0,0,3,4.31,15,0.282,5,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Slider.Cutter",2,"0","1",1,"2","2",1,0,0,0,0,1.98,107,0.291,34,-1,6,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"KnuckleBall",1,"0","0",3,"2","2",2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Fastball",4,"0","0",3,"0","0",2,0,0,0,-1,3.7,87,0.268,37,1,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","0",1,"1","0",2,1,0,0,3,2.25,19,0.234,7,-1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",3,"2","2",0,1,0,0,2,5.11,5,0.163,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Fastball",4,"0","1",4,"0","0",0,0,0,0,-4,0,12,0.3,3,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","1",7,"0","0",1,0,0,0,5,2.2,28,0.177,8,1,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"KnuckleBall",4,"0","1",1,"2","2",1,0,1,0,0,2.38,71,0.323,23,-1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",6,"0","1",5,"2","2",0,0,1,0,1,2.76,21,0.236,5,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",6,"0","0",4,"1","1",1,0,0,0,1,6.86,5,0.2,2,-1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Fastball",4,"0","1",6,"0","2",2,1,0,0,3,4.31,22,0.272,10,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
