"pitch_type","bat_order","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"CurveBall",1,"1","0",2,"1","1",2,0,0,0,-2,3.41,22,0.249,1,1,10,10,0,0,0,0,0,1,0,0,0,0,1,0
"CurveBall",6,"1","0",5,"0","0",1,0,0,0,2,3.34,44,0.223,11,-1,12,11,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",4,"1","0",5,"0","0",1,0,1,0,-2,3.42,23,0.286,5,-1,3,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",5,"1","0",7,"2","2",1,0,0,0,3,3.46,58,0.274,11,-1,11,11,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",4,"1","1",5,"1","1",0,0,0,0,0,6.75,4,0.226,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"ChangeUp",1,"1","0",3,"0","0",2,0,1,0,0,3.55,13,0.305,1,1,7,9,0,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",6,"1","0",6,"2","1",1,0,0,0,-2,3.48,9,0.262,3,1,3,3,0,0,0,0,0,1,0,0,0,0,1,0
"ChangeUp",2,"1","1",1,"1","0",0,0,0,0,0,3.53,17,0.246,7,1,7,6,0,0,0,0,0,1,0,1,0,0,0,0
"Fastball",9,"1","1",6,"0","0",0,0,0,0,2,6.1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
"ChangeUp",6,"1","1",5,"0","0",2,0,1,0,-3,3.06,20,0.278,3,1,6,5,0,0,1,0,0,0,0,1,0,0,0,0
