"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"Fastball",30,"0","1",8,"2","2",2,0,0,0,2,2.14,57,0.283,13,-1,10,2,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",15,"0","1",5,"1","0",0,0,0,0,2,2.14,3,0.19,2,-1,10,2,0,0,0,0,0,0,1,1,0,0,0,0
"Fastball",1,"0","1",1,"2","2",0,0,0,0,0,4.36,20,0.248,7,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",19,"0","1",4,"2","2",1,0,0,0,-4,1.99,46,0.274,2,-1,12,3,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",8,"0","0",3,"2","0",1,0,0,0,0,3.01,21,0.239,4,1,6,3,0,0,0,0,1,0,0,0,0,0,0,1
"Slider/Cutter",26,"0","0",8,"0","0",2,0,0,0,1,3.01,21,0.239,4,1,6,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",18,"0","0",6,"0","0",0,1,0,0,5,2.3,28,0.231,4,1,7,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",17,"0","1",5,"0","1",1,1,0,0,-1,2.06,6,0.275,0,1,5,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",17,"0","0",6,"0","2",1,0,0,0,1,3.01,21,0.239,4,1,6,3,0,0,0,0,0,0,1,0,0,1,0,0
"Slider/Cutter",19,"0","0",5,"1","0",2,0,1,0,3,2.16,18,0.313,2,-1,8,1,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",13,"0","1",4,"1","0",1,0,0,0,0,2.09,37,0.241,6,1,11,3,0,0,0,0,0,0,1,1,0,0,0,0
"ChangeUp",21,"0","0",6,"0","0",0,0,0,0,-2,2.74,37,0.26,4,-1,6,3,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",9,"0","1",3,"0","1",1,0,0,0,2,1.59,14,0.287,4,-1,5,0,0,0,0,0,1,0,0,1,0,0,0,0
"Fastball",6,"0","1",2,"0","1",0,1,0,0,2,2.8,38,0.249,5,-1,7,4,0,0,0,1,0,0,0,1,0,0,0,0
"ChangeUp",22,"0","1",5,"1","2",2,0,0,0,3,2.03,85,0.328,26,1,10,3,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",14,"0","1",5,"2","0",0,0,0,0,-1,2.06,33,0.263,9,1,5,0,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",12,"0","1",3,"0","0",0,1,0,0,2,1.88,45,0.235,7,1,10,1,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",19,"0","0",5,"2","2",2,0,1,0,3,2.16,18,0.313,2,-1,8,1,0,0,0,0,1,0,0,0,1,0,0,0
"Slider/Cutter",16,"0","1",5,"2","2",0,0,0,0,0,5.93,9,0.222,3,-1,2,1,0,0,0,0,1,0,0,0,0,1,0,0
"ChangeUp",5,"0","1",1,"0","0",2,1,1,0,0,2.01,19,0.299,5,1,10,2,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",12,"0","1",3,"3","2",2,0,0,0,-1,2.01,75,0.284,23,1,10,2,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",8,"0","1",2,"1","0",2,1,0,0,6,3.66,10,0.194,2,-1,4,2,0,0,0,0,0,0,1,1,0,0,0,0
