pitch_type,bat_order,pitch_rl,bat_rl,inning,balls,strikes,out,on_1b,on_2b,on_3b,score_diff,era,rbi,avg,hr,pitcher_at_home,pitcher_wins,pitcher_losses,batter_wins,batter_losses,prev_pitch_type0,prev_pitch_typeChangeUp,prev_pitch_typeFastball,prev_pitch_typeKnuckleBall,prev_pitch_typeSlider.Cutter,prevprev_pitch_type0,prevprev_pitch_typeChangeUp,prevprev_pitch_typeFastball,prevprev_pitch_typeKnuckleBall,prevprev_pitch_typeSlider.Cutter
Fastball,7,1,0,3,2,0,1,1,0,0,-3,3.8,7,0.213,3,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0
Fastball,2,1,1,5,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Fastball,5,1,0,2,0,0,0,1,0,0,0,4.11,39,0.231,10,1,7,4,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,7,1,0,2,0,2,0,1,0,1,1,1.71,5,0.191,3,-1,2,1,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,5,1,1,5,0,1,1,0,0,0,-3,4.18,34,0.303,3,1,7,4,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,8,1,0,2,0,0,1,0,0,0,-1,4.18,17,0.278,3,1,7,4,0,0,1,0,0,0,0,1,0,0,0,0
Fastball,4,1,0,4,1,0,0,0,0,0,-2,3.73,52,0.227,19,1,9,5,0,0,0,0,1,0,0,1,0,0,0,0
Fastball,2,1,0,1,2,2,1,0,0,0,1,0.84,3,0.13,2,-1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
Fastball,8,1,0,6,3,1,1,0,0,0,-1,5.2,14,0.218,2,1,5,2,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,5,1,1,3,2,1,0,1,0,0,-1,1.35,3,0.222,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
KnuckleBall,4,1,0,1,1,1,2,1,0,0,0,3.97,23,0.222,1,1,7,5,0,0,0,0,0,0,1,0,0,1,0,0
KnuckleBall,1,1,0,1,2,2,0,0,0,0,0,3.38,9,0.224,3,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0
Fastball,2,1,0,6,3,1,0,1,0,0,8,3.55,48,0.275,8,1,10,5,0,0,0,1,0,0,0,0,0,1,0,0
Fastball,2,1,1,1,0,0,0,1,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ChangeUp,5,1,1,4,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
