"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeCurveBall","prev_pitch_typeFastball","prev_pitch_typeOthers","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeCurveBall","prevprev_pitch_typeFastball","prevprev_pitch_typeOthers","prevprev_pitch_typeSlider.Cutter"
"CurveBall",21,"0","0",6,"0","2",1,0,0,0,0,3.26,44,0.272,6,1,5,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",13,"0","1",3,"2","2",2,1,1,0,-2,3.69,20,0.26,4,-1,4,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"0","1",2,"0","0",1,1,0,0,-1,4.39,4,0.268,2,1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",2,"0","1",1,"0","0",1,0,0,0,0,3.48,75,0.28,13,1,6,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",7,"0","1",2,"1","1",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",7,"0","0",2,"0","0",1,0,1,0,-1,3.98,9,0.205,4,-1,3,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",5,"0","0",1,"1","1",0,1,1,0,-3,3.59,35,0.283,7,1,3,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",5,"0","1",1,"0","1",2,0,1,0,-1,3.95,21,0.284,7,-1,3,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",11,"0","1",3,"0","0",2,0,0,0,5,3.48,75,0.28,13,1,6,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",7,"0","0",2,"1","2",2,0,0,0,-1,4.13,5,0.156,0,1,2,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",16,"0","1",4,"0","0",2,1,0,1,-1,4.03,24,0.207,6,1,3,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",4,"0","1",2,"2","2",0,0,0,0,0,2.77,1,0.179,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Fastball",6,"0","1",2,"0","1",0,0,0,0,-1,3.98,30,0.305,2,-1,3,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",25,"0","0",7,"1","2",2,0,0,0,-2,3.2,5,0.131,2,-1,5,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CurveBall",1,"0","0",1,"1","1",0,0,0,0,0,3.67,11,0.294,1,1,2,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",12,"0","1",3,"3","1",0,1,0,0,-1,4,40,0.288,8,-1,3,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",10,"0","1",3,"3","0",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Fastball",27,"0","1",7,"1","1",0,1,0,0,-2,4.33,7,0.324,1,1,2,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Fastball",23,"0","1",7,"0","0",0,0,0,0,-1,8.4,11,0.318,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",15,"0","1",4,"1","2",0,0,0,0,-1,2.37,8,0.412,1,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"Fastball",4,"0","1",2,"0","1",0,0,0,0,1,4.33,28,0.285,7,1,2,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",14,"0","1",4,"0","0",0,0,0,0,3,9,4,0.444,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",10,"0","1",3,"0","0",1,0,0,0,5,3.48,44,0.285,7,1,6,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",1,"0","1",1,"0","2",0,0,0,0,0,3.24,27,0.335,2,1,5,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",10,"0","0",3,"1","2",1,0,0,0,-1,4.03,32,0.234,8,1,3,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",25,"0","1",7,"0","2",2,0,0,0,2,3.69,7,0.235,2,-1,4,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"CurveBall",15,"0","1",4,"2","0",1,1,0,1,-1,4.67,5,0.261,0,-1,2,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",7,"0","1",2,"2","1",1,0,1,0,2,3.87,12,0.23,4,-1,3,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Fastball",7,"0","0",2,"1","1",0,0,0,0,-1,3.95,28,0.277,9,-1,3,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",23,"0","0",6,"1","1",1,1,0,0,0,3.26,45,0.274,9,1,5,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",25,"0","0",6,"3","2",1,1,0,0,-1,3.56,11,0.272,3,1,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"CurveBall",27,"0","1",6,"0","0",0,0,1,0,-1,3.69,14,0.242,3,1,4,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"CurveBall",5,"0","1",1,"1","2",1,1,1,0,-1,0,0,0.5,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",17,"0","1",4,"0","0",0,1,0,0,-1,2.37,5,0.233,2,-1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","1",1,"0","1",0,0,0,0,0,8.4,5,0.295,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Fastball",8,"0","1",3,"1","0",1,0,0,0,0,6.55,6,0.342,0,-1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"CurveBall",14,"0","0",5,"0","1",0,0,0,0,3,5.03,18,0.306,6,-1,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"Fastball",1,"0","0",1,"0","0",0,0,0,0,0,3.67,8,0.266,0,-1,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",9,"0","1",3,"0","0",0,0,1,0,0,8.4,5,0.25,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"Fastball",22,"0","1",6,"2","1",0,0,1,0,3,3.48,87,0.328,27,1,6,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",23,"0","1",6,"2","2",1,0,0,1,1,3.95,21,0.284,7,-1,3,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",19,"0","0",5,"1","1",1,0,0,0,0,3.95,36,0.289,9,-1,3,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Fastball",4,"0","1",1,"1","2",2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Fastball",24,"0","1",7,"1","0",0,1,0,0,0,4.33,23,0.233,4,1,2,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0
